タイトル,ふりがな,分類,現市町村,伝承地,キーワード,話者,採集者,引用,著者,論文名,著者・編者,文献名,出版社,和暦,西暦,リンク,県図書,デジコレ,備考
土治右衛門,土治右衛門,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
剣湯の本の冷泉,剣湯の本の冷泉,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
湯雪寺山の黄金千枚,湯雪寺山の黄金千枚,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
日露上人,日露上人,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
三國大守の鐘の行方,三國大守の鐘の行方,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
平原の神石（宮崎市郡）,平原の神石（宮崎市郡）,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
恒久神社の由来,恒久神社の由来,伝説,宮崎市,宮崎市,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
黒渡守の風流,黒渡守の風流,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
吉荷田の蛇権現（南那珂郡）,きちかたのへびごんげん（みなみなかぐん）,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
岩野方の大根川,岩野方の大根川,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
ちゝ折神社と市木神社,ちゝ折神社と市木神社,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
永徳寺の芽師と宗近の地,永徳寺の芽師と宗近の地,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
霧島沖の黒蛇,霧島沖の黒蛇,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
中別府の蛇王権現,中別府の蛇王権現,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
乗八,乗八,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
静女喜の神社（東諸県郡）,しずめきのじんじゃ（ひがしもろかたぐん）,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
女の身投,女の身投,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
永水寺の黒本尊（西諸県郡）,永水寺の黒本尊（西諸県郡）,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
ほんげん川,ほんげん川,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
南方神社の神様,南方神社の神様,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
蛇と去本静,蛇と去本静,伝説,,,,,,,,,永友宗義,日向見聞録,,明治3,1870,宮崎県立図書館,,,
,,,,,,,,,,日向ばなし,横山雅男,統計集誌,横山雅男,明治41,1908,,,,
魔,ま,,,串間市,,,,,柴野未樵,国々の言習はし,,郷土研究	4巻9号,郷土研究社,大正5年,1916,怪異・妖怪伝承データベース,,,
雷，桑,雷，桑,,,,,,,,柴野未樵,報告,,郷土研究	4巻3号,郷土研究社,大正5年,1916,怪異・妖怪伝承データベース,,,
美々津のつき入れ團子/1,美々津のつき入れ團子/1,伝説,,日向市,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
お金お倉ケ濱/11,お金お倉ケ濱/11,伝説,,日向市,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
法華嶽藥師と彌陀如來/20,法華嶽藥師と彌陀如來/20,伝説,,国富町,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
眞帆嫌ひの權現樣/32,まほぎらいひのごんげんよう/32,伝説,,,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
海の幸山の幸/41,海の幸山の幸/41,伝説,,宮崎市,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
炎えずの野[火]/53,もえずのの[ひ]/53,伝説,,,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
伊福形の花笠踊/63,伊福形の花笠踊/63,伝説,,延岡市,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
愛宕大權現の御利益/69,愛宕大權現の御利益/69,伝説,,,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
權現樣の御化身/83,權現樣の御化身/83,伝説,,,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
狹野の仁王樣/87,狹野の仁王樣/87,伝説,,,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
櫧の木の怪/91,櫧の木の怪/91,伝説,,,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
こがねの農具/94,こがねの農具/94,伝説,,,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
神女滿壽子と榎原樣/101,神女滿壽子と榎原樣/101,伝説,日南市,日南市,,,,,,,小川文雄,滅びゆく日向伝説,国民教育良書刊行会,大正12,1922,https://dl.ndl.go.jp/pid/1719822,,,
南方村（高天原所在地）及び附近の遺蹟と傳説/1,なんぽうむら（たかまがはらしょざいち）およびふきんのいせきとつたうせつ/1,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一、　南方村小史/1,一、　南方村小史/1,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
二、　高天原/2,二、　高天原/2,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
三、　人見山、船見山/3,三、　人見山、船見山/3,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
